CSD_identifier,la_smiles,ca_class,la_atom_count,picked_for_fia_calculation,la_xyz_successfully_generated,part_of_the_final_fia2k_csd_dataset
AHOGUZ,[H]c1nc(N(c2nc([H])c([H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c(C([H])([H])[H])c(C([H])([H])[H])c(B(c5c(C([H])([H])[H])c(C([H])([H])[H])c(-c6c([H])c([H])c(-c7c([H])c([H])c(N(c8nc([H])c([H])c([H])c8[H])c8nc([H])c([H])c([H])c8[H])c([H])c7[H])c([H])c6[H])c(C([H])([H])[H])c5C([H])([H])[H])c5c(C([H])([H])[H])c(C([H])([H])[H])c(-c6c([H])c([H])c(-c7c([H])c([H])c(N(c8nc([H])c([H])c([H])c8[H])c8nc([H])c([H])c([H])c8[H])c([H])c7[H])c([H])c6[H])c(C([H])([H])[H])c5C([H])([H])[H])c(C([H])([H])[H])c4C([H])([H])[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1[H],B(III),190.0,False,not_attempted,False
AJAGID,[H]c1c([H])c(C(F)(F)F)c(B(c2c([H])c(C(F)(F)F)c([H])c([H])c2C(F)(F)F)c2c([H])c(C(F)(F)F)c([H])c([H])c2C(F)(F)F)c([H])c1C(F)(F)F,B(III),52.0,False,not_attempted,False
AJITIZ,[H]C([H])=C(B1OC(c2c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2[H])(c2c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2[H])[C@@]2([H])N1[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C2([H])[H])C([H])([H])[H],B(III),67.0,False,not_attempted,False
AKAWEP,[H]OC([H])([H])[C@]1([H])O[C@@]1([H])B1O[C@@]([H])(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])O1,B(III),73.0,False,not_attempted,False
AKAXUH,[H]c1c([H])c([H])c(C2=C(c3c([H])c([H])c([H])c([H])c3[H])C(c3c([H])c([H])c([H])c([H])c3[H])=C(c3c([H])c([H])c([H])c([H])c3[H])B2c2c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c([H])c1[H],B(III),70.0,False,not_attempted,False
AKIFIL,[H]/C(=N\C([H])(C([H])([H])[H])C([H])([H])[H])N(B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1)C([H])(C([H])([H])[H])C([H])([H])[H],B(III),45.0,True,True,True
AKIFOR,[H]/C(=N\c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])N(B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1)c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],B(III),83.0,False,not_attempted,False
AKUCOB,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(C#Cc2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1C([H])([H])[H],B(III),60.0,False,not_attempted,False
AKUKEZ,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(C#Cc2c3c([H])c([H])c([H])c([H])c3c([H])c3c([H])c([H])c([H])c([H])c23)c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1C([H])([H])[H],B(III),66.0,False,not_attempted,False
ALALEH,[H]c1c([H])c(-c2c([H])c(-n3c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c([H])c([H])c43)c([H])c(-n3c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c([H])c([H])c43)c2[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],B(III),102.0,False,not_attempted,False
AMIBOO,[H]C([H])([H])C([H])([H])OB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,B(III),31.0,True,True,True
AMIVIB,[H]C([H])=C([H])[C@]([H])(B1O[C@@]([H])(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])O1)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],B(III),83.0,False,not_attempted,False
ANUDIX,[H]c1c([H])c([H])c(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),58.0,False,not_attempted,False
APOROO,[H]OB(O[H])c1c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c([H])c1Br,B(III),23.0,False,not_attempted,False
APOTIL,[H]c1nc(Cl)c([H])c([H])c1C(=O)OC1(C([H])([H])[H])C([H])([H])C([H])(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)C1([H])[H],B(III),47.0,False,not_attempted,False
APOTOR,[H]c1c([H])c([H])c2c(c1[H])C(=O)N(C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1)S2(=O)=O,B(III),47.0,False,not_attempted,False
AQAQEQ,[H]Oc1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([C@@]([H])(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c2c([H])c([H])c([H])c([H])c2Br)c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),70.0,False,not_attempted,False
AQATUJ,[H]/C(=N\c1c([H])c([H])c(Br)c([H])c1[H])c1c([H])c([H])c(B2OC([H])([H])[C@@]3([H])O[C@]4([H])OC(C([H])([H])[H])(C([H])([H])[H])O[C@]4([H])[C@@]3([H])O2)c([H])c1[H],B(III),50.0,True,True,False
AQAVAR,[H]/C(=N\c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])c1c([H])c([H])c([H])c(B2OC([H])([H])[C@@]3([H])O[C@]4([H])OC(C([H])([H])[H])(C([H])([H])[H])O[C@]4([H])[C@@]3([H])O2)c1[H],B(III),53.0,True,True,True
AQEHUB,[H]c1c([H])c(C([H])([H])Br)c([H])c(C([H])([H])Br)c1B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1,B(III),38.0,False,not_attempted,False
AQEJAJ,[H]c1c([H])c(C([H])([H])Br)c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c(C([H])([H])Br)c1[H],B(III),38.0,False,not_attempted,False
AQIKAP,[H]c1c([H])c2c(c([H])c1Cl)C([H])([H])C([H])([H])B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])O2,B(III),38.0,False,not_attempted,False
AQUPAG,[H]c1c([H])c([H])c(-c2nn(-c3c([H])c([H])c(B(c4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])c4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])c([H])c3[H])c(-c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],B(III),79.0,False,not_attempted,False
AQUYET,[H]c1c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])sc(-n2nc(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])c1[H],B(III),76.0,False,not_attempted,False
AROJEY,[H]C1=C([H])N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])=C([H])B1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),76.0,True,True,True
AROVAG,[H]C1=C([H])N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(c2c([H])c([H])c([H])c([H])c2[H])=C([H])B1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),46.0,False,not_attempted,False
ARUCEY,[H]n1c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c(C([H])([H])[H])c(C([H])([H])[H])c1C(=O)OC([H])([H])C([H])([H])[H],B(III),45.0,True,True,True
ASAKAJ,[H]c1c([H])c2c(c([H])c1Br)-c1c([H])c(Br)c([H])c([H])c1B2c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],B(III),59.0,False,not_attempted,False
