CSD_identifier,la_smiles,ca_class,la_atom_count,picked_for_fia_calculation,la_xyz_successfully_generated,part_of_the_final_fia2k_csd_dataset
EYUYAB,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c(C([H])([H])[H])c2[H])c([H])c([H])c1OC([H])([H])[H],B(III),65.0,False,not_attempted,False
EZAJOH,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])[C@]1([H])/C(=C(\[H])[C@@]([H])(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],B(III),72.0,False,not_attempted,False
EZINIM,[H]c1c([H])c([H])c(N(B(c2c(C([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),58.0,False,not_attempted,False
EZINOS,[H]c1c([H])c([H])c(N(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),64.0,False,not_attempted,False
EZINOT,[H]C([H])([H])/C(=C(/C([H])([H])B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1)C([H])([H])C([H])([H])C([H])([H])C(F)(F)F)C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H],B(III),68.0,True,True,False
EZINUY,[H]c1c([H])c([H])c(N(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],B(III),72.0,False,not_attempted,False
EZIPAG,[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N(B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],B(III),80.0,False,not_attempted,False
EZIPOV,[H]c1c([H])c2c(c([H])c1OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])/C(=C(/C([H])([H])B4OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O4)C([H])([H])C([H])([H])[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H],B(III),76.0,False,not_attempted,False
EZUPAT,[H]c1c([H])c(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c(B(Br)N([H])[H])c(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1[H],B(III),54.0,False,not_attempted,False
EZUQIA,[H]c1c([H])c([H])c2c(c1[H])C(=O)C1=C(C2=O)N([H])B(c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])N1[H],B(III),35.0,False,not_attempted,False
EZUYUU,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N(C([H])([H])[H])C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1[H],B(III),70.0,False,not_attempted,False
FACSUA,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(Oc2c([H])c([H])c([H])c3c([H])c([H])c(C([H])([H])[H])nc23)c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1C([H])([H])[H],B(III),61.0,False,not_attempted,False
FACYUH,[H]c1c([H])c2c3c(c1[H])N1c4c([H])c([H])c([H])c([H])c4C(C([H])([H])[H])(C([H])([H])[H])c4c([H])c([H])c([H])c(c41)B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1C3(C([H])([H])[H])C([H])([H])[H],B(III),68.0,False,not_attempted,False
FACZAO,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3N3c4c([H])c([H])c([H])c5c4B(c4c([H])c([H])c([H])c2c43)c2c([H])c([H])c([H])c3c2N5c2c([H])c([H])c([H])c([H])c2C3(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),96.0,False,not_attempted,False
FAFDAR,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1C2([H])B(F)N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],B(III),52.0,False,not_attempted,False
FAFQOW,[H]C([H])([H])n1nc(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c(Br)c1C(F)(F)F,B(III),35.0,False,not_attempted,False
FAHWUJ,[H]c1c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c(-n2c([H])c([H])n(-c3c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3C([H])(C([H])([H])[H])C([H])([H])[H])c2=NB(Cl)N=c2n(-c3c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])n2-c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],B(III),134.0,False,not_attempted,False
FAJJOT,[H]c1sc(C([H])([H])[H])c([H])c1-c1c2c([H])c([H])c([H])c([H])c2c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c2c([H])c([H])c([H])c([H])c12,B(III),54.0,False,not_attempted,False
FAJNUD,[H]C(=O)c1c2c([H])c([H])c([H])c([H])c2c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c2c([H])c([H])c([H])c([H])c12,B(III),46.0,False,not_attempted,False
FAJPAL,[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1-c1c2c([H])c([H])c([H])c([H])c2c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c2c([H])c([H])c([H])c([H])c12,B(III),56.0,False,not_attempted,False
FAJPEP,[H]c1sc(-c2c3c([H])c([H])c([H])c([H])c3c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],B(III),51.0,False,not_attempted,False
FAJPIT,[H]c1sc([H])c(-c2c3c([H])c([H])c([H])c([H])c3c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c3c([H])c([H])c([H])c([H])c23)c1[H],B(III),51.0,False,not_attempted,False
FAJPOZ,[H]c1c(-c2c3c([H])c([H])c([H])c([H])c3c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c3c([H])c([H])c([H])c([H])c23)sc(C([H])([H])[H])c1[H],B(III),54.0,False,not_attempted,False
FAMYAW,[H]OB1O[C@]([H])(C([H])([H])C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])c2c([H])c([H])c([H])c([H])c21,B(III),32.0,True,True,True
FARPEU,[H]c1c([H])c([H])c2c(-c3c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)c([H])c([H])c4c([H])c([H])c([H])c([H])c34)c([H])c([H])c([H])c2c1[H],B(III),56.0,False,not_attempted,False
FAXJIZ,[H]c1c(B2O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])O2)sc(C(=O)C([H])([H])[H])c1[H],B(III),28.0,False,not_attempted,False
FAXJOF,[H]C(=O)c1c([H])c([H])c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c([H])c1[H],B(III),34.0,False,not_attempted,False
FAXKIA,[H]c1c([H])c([H])c(B(Br)Br)c([H])c1[H],B(III),14.0,False,not_attempted,False
FAXKUM,[H]c1c([H])c(B(Br)Br)c([H])c([H])c1Br,B(III),14.0,True,True,True
FAZYIR,[H]C1=C([H])c2c([H])c([H])c([H])c([H])c2N2B1C(Br)=C([H])C([H])=C2[H],B(III),24.0,True,True,True
FEBVEO,[H]/C(=C(/[H])[C@]([H])(B1O[C@@]([H])(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])O1)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H],B(III),86.0,False,not_attempted,False
FECSEM,[H]OB(O[H])c1c([H])nc(OC([H])([H])[H])c([H])c1[H],B(III),19.0,False,not_attempted,False
FEFGEC,[H]c1c([H])c([H])c(B2OC([H])([H])C([N+](=O)[O-])(C([H])([H])[H])C([H])([H])O2)c([H])c1[H],B(III),28.0,False,not_attempted,False
FEKTIA,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3c(Br)c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c23)c1C([H])([H])[H],B(III),88.0,False,not_attempted,False
FEKVIC,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3c([H])c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c23)c1C([H])([H])[H],B(III),88.0,False,not_attempted,False
FEKWEZ,[H]c1nc(-c2nc(-c3nc([H])c([H])c([H])c3[H])c([H])c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c2[H])c([H])c([H])c1[H],B(III),49.0,False,not_attempted,False
FEKZEC,[H]C([H])([H])c1c(C#N)c(C([H])([H])[H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c(C([H])([H])[H])c(C#N)c(C([H])([H])[H])c2C([H])([H])[H])c2c(C([H])([H])[H])c(C([H])([H])[H])c(C#N)c(C([H])([H])[H])c2C([H])([H])[H])c1C([H])([H])[H],B(III),73.0,False,not_attempted,False
FELFEJ,[H]c1c([H])c([C@@]([H])(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)C([H])([H])C(=O)N2C(=O)OC([H])([H])C2([H])[H])c([H])c([H])c1Br,B(III),49.0,False,not_attempted,False
FELNIW,[H]OB(O[H])c1c([H])c([H])c(/C([H])=N/N([H])C(=O)c2c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],B(III),61.0,False,not_attempted,False
FERKIY,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c([H])c1N2B(N1c2c([H])c([H])c([H])c([H])c2Sc2c([H])c([H])c([H])c([H])c21)N1c2c([H])c([H])c([H])c([H])c2Sc2c([H])c([H])c([H])c([H])c21,B(III),67.0,True,True,True
FERSIH,[H]c1c([H])c([H])c2c([H])c([H])c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c-2c([H])c1[H],B(III),38.0,False,not_attempted,False
FERXUY,[H]OB1OC([H])([H])C(c2c([H])c([H])c([H])c([H])c2[H])=C([H])C1([H])[H],B(III),24.0,False,not_attempted,False
FETMAV,[H]OB(O[H])[C@@]1([H])[C@]([H])(C(=O)OC([H])([H])C([H])([H])[H])[C@]1([H])c1c([H])c([H])c([H])c([H])c1[H],B(III),32.0,False,not_attempted,False
FETQAZ,[H]OB(O[H])[C@]1([H])[C@@]([H])(C(=O)OC([H])([H])C([H])([H])[H])[C@]1([H])c1c([H])c([H])c(Br)c([H])c1[H],B(III),32.0,False,not_attempted,False
FETYEL,[H]OB(O[H])[C@]1([H])[C@@]([H])(C(=O)OC([H])([H])C([H])([H])[H])[C@@]1([H])c1c([H])c([H])c(Br)c([H])c1[H],B(III),32.0,False,not_attempted,False
FETYIP,[H]OB(O[H])[C@]1([H])[C@]([H])(C(=O)OC([H])([H])C([H])([H])[H])[C@@]1([H])c1c([H])c([H])c([H])c([H])c1[H],B(III),32.0,False,not_attempted,False
FEZLEE,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c3c2c([H])c([H])c2nc(C([H])([H])[H])c([H])c([H])c23)c1C([H])([H])[H],B(III),74.0,True,True,True
FEZLII,[H]/C(=C(/[H])c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1nc([H])c([H])c([H])c1[H],B(III),73.0,False,not_attempted,False
FEZLOO,[H]/C(=C(/[H])c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H],B(III),78.0,False,not_attempted,False
FEZLUU,[H]c1nc2c([H])c([H])c3c(B(c4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])c4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c3c2c([H])c1[H],B(III),71.0,True,True,True
FEZMAB,[H]/C(=C(/[H])c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H],B(III),74.0,False,not_attempted,False
FEZMEF,[H]C1=C(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])[C@@]2([H])C([H])=C([H])c3nc([H])c([H])c([H])c3[C@@]2([H])C(N(C([H])([H])[H])C([H])([H])[H])=C1[H],B(III),73.0,True,True,True
FEZMIJ,[H]C1=C(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])[C@@]2([H])C([H])=C([H])c3nc(C([H])([H])[H])c([H])c([H])c3[C@@]2([H])C(N(C([H])([H])[H])C([H])([H])[H])=C1[H],B(III),76.0,True,True,True
FEZMOP,[H]/C(=C(/[H])c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1sc([H])c([H])c1[H],B(III),71.0,False,not_attempted,False
FEZMUV,[H]/C(=C(/[H])c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c([H])sc([H])c1[H],B(III),71.0,True,True,True
FEZNAC,[H]c1sc2c(c1[H])c([H])c([H])c1c(B(c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c12,B(III),69.0,True,True,True
FEZNEG,[H]/C(=C(/[H])c1c([H])c([H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1nc([H])c([H])c([H])c1[H],B(III),65.0,False,not_attempted,False
FEZNIK,[H]/C(=C(/[H])c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1nc(C([H])([H])[H])c([H])c([H])c1[H],B(III),76.0,True,True,True
FIBYIY,[H]OB(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],B(III),43.0,False,not_attempted,False
FICGUV,[H]c1c([H])c([H])c(N(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),47.0,False,not_attempted,False
FIKSUQ,[H]c1c([H])c([H])c([C@@]2([H])N(S(=O)(=O)c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])[C@@]([H])(C(=O)OC([H])([H])[H])[C@]([H])(C([H])([H])[C@]([H])(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)C([H])([H])[H])[C@]2([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],B(III),88.0,False,not_attempted,False
FIKXUV,[H]c1nc(C([H])([H])N(C([H])([H])c2nc([H])c([H])c([H])c2[H])C([H])([H])c2nc3c(-c4c([H])c([H])c(B(c5c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c5C([H])([H])[H])c5c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c5C([H])([H])[H])c([H])c4[H])c([H])c([H])c([H])c3c([H])c2[H])c([H])c([H])c1[H],B(III),96.0,False,not_attempted,False
FILWOP,[H]c1c([H])c([H])c(C([H])([H])[C@]([H])(OB2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),49.0,False,not_attempted,False
FIMWOP,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])B2c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])c([H])c1[H],B(III),34.0,True,True,False
FIPCUC,[H]C([H])([H])C1=C(C([H])([H])[H])C(B(F)C2(C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])C(C([H])([H])[H])=C2C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])=C1C([H])([H])[H],B(III),52.0,True,True,True
FIPZAH,[H]c1sc(B2N(c3c(F)c(F)c(F)c(F)c3F)c3c([H])c([H])c([H])c([H])c3N2c2c(F)c(F)c(F)c(F)c2F)c([H])c1[H],B(III),43.0,False,not_attempted,False
FISBUG,[H]c1c([H])c([H])c(B2Oc3c(c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O2)c([H])c1[H],B(III),48.0,False,not_attempted,False
FODVAY,[H]OB(O[H])c1c([H])c([H])c(F)c([H])c1OC([H])([H])C([H])([H])[H],B(III),23.0,False,not_attempted,False
FOJKOF,[H]c1c([H])c([H])c(C(OB(OC(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],B(III),100.0,False,not_attempted,False
FOKDAN,[H]OB(O[H])C1=C([H])[C@@]2([H])C([H])=C([H])[C@]1(C([H])([H])[H])C([H])([H])[C@]2(OC([H])([H])[H])C([H])([H])[H],B(III),32.0,False,not_attempted,False
FOKRAA,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2OB(Oc2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])Oc2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),67.0,True,True,True
FOKREE,[H]OB1Oc2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c21,B(III),24.0,False,not_attempted,False
FOKROO,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2OB2Oc3c([H])c([H])c([H])c([H])c3-c3c([H])c([H])c([H])c([H])c32)c([H])c1[H],B(III),44.0,False,not_attempted,False
FOPXIU,[H]c1c([H])c([H])c(C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)C([H])([H])[H])c([H])c1[H],B(III),69.0,False,not_attempted,False
FOVMOT,[H]OB(O[H])c1c([H])c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],B(III),42.0,False,not_attempted,False
FOYSIY,[H]/C(B1N([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)N1[H])=C(\[H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],B(III),40.0,False,not_attempted,False
FOYVEX,[H]/C(=C(/B1N([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)N1[H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],B(III),46.0,True,True,True
FUBKOD,[H]OB(O[H])c1c([H])nc(C(F)(F)F)c([H])c1[H],B(III),18.0,False,not_attempted,False
FUBKUJ,[H]c1c([H])c(-n2nc(C(F)(F)F)c([H])c2B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c([H])c([H])c1OC([H])([H])[H],B(III),46.0,False,not_attempted,False
FUBLIY,[H]OB(O[H])c1c([H])c(Cl)nc([H])c1C(F)(F)F,B(III),18.0,True,True,True
FUFJUN,[H]C(OB(OC([H])(C(F)(F)F)C(F)(F)F)OC([H])(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,B(III),34.0,True,True,True
FULGUQ,[H]C([H])([H])c1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])sc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,B(III),58.0,True,True,True
FULHAX,[H]C([H])([H])C(c1sc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1Cl)(C([H])([H])[H])C([H])([H])[H],B(III),55.0,True,True,False
FULHEB,[H]C([H])([H])C(c1sc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(-c2c(F)c(F)c(F)c(F)c2F)c1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(C([H])([H])[H])C([H])([H])[H],B(III),65.0,True,True,True
FUMCAU,[H]c1c([H])c([H])c2c(oc3c(B4OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O4)c([H])c([H])c([N+](=O)[O-])c32)c1[H],B(III),43.0,False,not_attempted,False
FUPTAM,[H]Oc1c([H])c([H])c2c(c1[H])Oc1c([H])c(O[H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2C(=O)N1/N=C(\[H])c1c([H])c([H])c([H])c([H])c1B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1,B(III),71.0,False,not_attempted,False
FUPZOH,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c23)c1C([H])([H])[H],B(III),66.0,False,not_attempted,False
FUQBAW,[H]c1c([H])c2c3c(c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c3c1B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1)C([H])([H])C2([H])[H],B(III),50.0,False,not_attempted,False
FUQBIE,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c([H])c([H])c3c4c(c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c24)C([H])([H])C3([H])[H])c1C([H])([H])[H],B(III),70.0,False,not_attempted,False
FUQBOK,[H]OB(O[H])c1c([H])c([H])c2c3c(c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c13)C([H])([H])C2([H])[H],B(III),34.0,False,not_attempted,False
FUQBUQ,[H]OB(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c([H])c([H])c2c3c(c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c13)C([H])([H])C2([H])[H],B(III),52.0,False,not_attempted,False
FUTBAX,[H]c1c([H])c([H])c(B2c3c([H])c(C([H])([H])[H])c([H])c([H])c3N(C([H])([H])[H])c3c([H])c([H])c(C([H])([H])[H])c([H])c32)c([H])c1[H],B(III),43.0,False,not_attempted,False
FUTMAL,[H]c1nc(-c2nnc(-c3c([H])c([H])c(B4OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O4)c([H])c3[H])o2)c([H])c([H])c1[H],B(III),46.0,False,not_attempted,False
